text,label
"Breaking: Government hiding truth, share immediately!",fake
"Shocking news! Doctors warn about dangerous cure",fake
"Urgent! This message will be deleted soon",fake
"You won’t believe what happened next!!!",fake
"Forward this to everyone you know now",fake
"Scientists discover new vaccine after years of research",real
"Government announces economic reforms in parliament",real
"New education policy focuses on skill development",real
"Health ministry releases official COVID-19 guidelines",real
"Researchers publish findings in international journal",real
"Experts say drinking water is essential for health",real
"Unbelievable secret leaked by insiders!!!",fake
"Act now before it’s too late!!!",fake
"Official report released by the finance ministry",real
"Study shows benefits of regular exercise",real
"Warning! This food can cause serious harm!!!",fake
"Police department issues public safety notice",real
"Breaking: miracle cure discovered, doctors shocked",fake
"NASA announces new space mission details",real
"Local government improves infrastructure development",real
"Drinking hot water can cure all diseases according to experts",fake
"Eating only fruits for a week can permanently detox your body",fake
"Mobile radiation is proven to cause cancer in all users",fake
"Vaccines are harmful and should be avoided completely",fake
"You won’t believe what this actor did yesterday",fake
"This one trick can make you rich overnight",fake
"Top secret method doctors don’t want you to know",fake
"Forward this message to 10 people to avoid bad luck",fake
"This message will disappear if not shared immediately",fake
"Supreme Court issues new guidelines on digital privacy",real
"ISRO successfully launches satellite into orbit",real
"Reserve Bank announces changes in interest rates",real
"WHO releases global health report on nutrition",real
"Weather department predicts rainfall in northern regions",real
"University announces new academic schedule",real
